fault_id,rank,category,cmdb_id,index
40,0,docker,docker_007,container_thread_used_pct
40,1,docker,docker_007,container_session_used
41,0,docker,docker_001,container_mem_used
41,1,docker,docker_001,container_thread_running
42,0,docker,docker_002,container_fgct
42,1,docker,docker_002,container_thread_total
43,0,docker,docker_001,container_thread_running
43,1,docker,docker_001,container_thread_total
44,0,docker,docker_002,container_fgct
44,1,docker,docker_002,container_thread_total
45,0,docker,docker_008,
46,0,docker,docker_004,container_thread_running
46,1,docker,docker_004,container_thread_used_pct
47,0,db,db_007,MEM_Used
47,1,db,db_007,MEM_Total
48,0,docker,docker_008,container_thread_total
48,1,docker,docker_008,container_fgct
49,0,docker,docker_002,container_fgct
49,1,docker,docker_002,container_thread_total
50,0,docker,docker_005,container_cpu_used
50,1,docker,docker_005,container_thread_running
51,0,docker,docker_006,container_thread_idle
51,1,docker,docker_006,container_fgc
52,0,docker,docker_004,container_thread_running
52,1,docker,docker_004,container_thread_used_pct
